#,Träger,Träger 2,Träger 3,Träger 4,Titel,Untertitel,Strassen,Beschreibung,Start genau,Ende genau,Datum_Text
1,STAWAG,,,,Adenauerallee,Höhe Thiensweg – Nellessenstraße,"Thiensweg, Nellessenstraße",Sanierung Kanal und Versorgungsleitungen,01.03.2013,31.10.2013,März bis Oktober 2013
2,STAWAG,,,,Am Rosenhügel,Laurensberg,Am Rosenhügel,Sanierung der Wasserleitungen,01.05.2013,30.09.2013,Mai bis September 2013
3,STAWAG,Stadt Aachen,,,Büchel,Körbergasse bis Markt,"Büchel (Körbergasse, Markt)","Niveaugleicher Ausbau der Straße und des Fußgängerbereichs: Sperrung zwischen Körbergasse und Kleinmarschierstraße bis Ende Juni, nach der Karlspreisverleihung am 13. Mai Fortsetzung der Straßenbauarbeiten im oberen Bereich kurz vor dem Markt, dort wird ein Baum gepflanzt und eine Bank errichtet. ",,30.06.2013,Bis Ende Juni 2013
4,STAWAG,Stadt Aachen,,,Burtscheider Straße,Boxgraben bis Brücke,Boxgraben,"STAWAG erneuert Kanal und baut Fernwärme aus, Stadt Aachen baut Burtscheider Straße neu aus.Sperrung Burtscheider Straße und Friedlandstraße vom Boxgraben bis Zollamtstraße für den Durchgangsverkehr. Die Zufahrt von der Burtscheider Straßein die Reumontstraße wird unterbunden. Bis etwa Mitte Mai sind die Zollamtstraße, der Bahnhof und das Parkhaus Lagerhausstraße von der Kasinostraße aus jedoch noch erreichbar. Eine Umleitung über Kasinostraße, Normaluhr, Hackländerstraße und Vereinsstraße wird ausgeschildert. Ortskundige sollten den Bereich weiträumigumfahren. ",,31.07.2013,Bis Juli
5,STAWAG,Stadt Aachen,,,Camp Pirotte,Gewerbepark Brand,,"Erschließung des Gewerbegebietes, Kanalbau, Versorgungsleitungen, Straßenbauetwa ab März 2013 ",05.11.2013,31.12.2013,5. 11. bis Ende 2013
6,Bau- und Liegenschaftsbetrieb NRW (BLB),,,,Campus Melaten,"Pauwelsstraße, Forckenbeckstraße","Pauwelsstraße, Forckenbeckstraße","Umbau im Zusammenhang mit Erschließung Campus Melaten, Arbeiten anVersorgungsleitungen im Bereich der Parkspange (Pauwelsstr. undForckenbeckstr.), keine Sperrungen, aber Verlegungen.der Kreisverkehr Nord im Campus Melaten ist fertiggestellt.Fertigstellung der Forckenbeckstraße und Pauwelsstraße sowie des Kreisverkehrsab 2./3. Juni, ab dann kann die Stiewistraße nicht mehr befahren werden. Die ASEAG Busse werden ab dann über die Umwelttrasse Pauwelsstraße zumKlinikum geleitet, Haltestellen werden eingerichtet. Sperrung der Fußgänger- und Radfahrbrücke Melatener Straße bis Sommer 2013. Endausbau wird etwa Juli 2013 fertiggestellt. Ausführliche Informationen:http://geoserver.nacken-ingenieure.de ",,31.07.2013,Bis Juli 2013
7,Stadt Aachen,,,,Eisenbahnweg,zwischen AachenArkaden und Philipstraße,Eisenbahnweg (Philipsraße),Ausbau des Vennradwegs auf und neben der Bahntrasse,01.03.2013,30.06.2013,Ab März 2013 bis Juni 2013
8,STAWAG,,,,Elisabethstraße,,Elisabethstraße,Erneuerung von Kanal- und Versorgungsleitungen,15.02.2013,30.11.2013,Februar bis November 2013
9,STAWAG,,,,Elsaßstraße,,Elsaßstraße,Sanierung Kanal und Versorgungsleitungen Weitere Infos unter www.stawagbaut.de ,30.04.2013,31.05.2014,Ende April bis Mai 2014
10,STAWAG,,,,Gartenstraße,,Gartenstraße,Erneuerung von Kanal- und Versorgungsleitungen Weitere Infos unter www.stawagbaut.de ,01.05.2013,31.12.2013,Mai bis Ende 2013
11,Aachener Stadtbetrieb,STAWAG,,,Hahner Straße,,Hahner Straße,Sanierung beider Brücken. Von Gracht bis Schleidener Straße einspuriger Begegnungsverkehr im jeweiligen Bauabschnitt bis März 2013. ,,30.06.2013,Bis Juni 2013
12,STAWAG,,,,Hof,Krämerstraße bis Büchel,"Krämerstraße, Büchel","Weitgehend unterirdische Kanalerneuerung. Während des Weihnachtsmarktes wird die Baugrube provisorisch verschlossen, die Arbeiten werden ruhen. ",,31.03.2014,Bis März 2014
13,STAWAG,,,,Hörn/Campus,"Heerlener Str., Valkenburger Str., Gulpener Str., Lemierser Str.","Heerlener Str., Valkenburger Str., Gulpener Str., Lemierser Str.","Neuverlegung von Fernwärmeleitungen zur Anbindung des Campus Melaten, Hausanschlüsse werden erneuert, es beginnt an der Heerlener Straße an der Einmündung in die Bleiberger Straße. Die insgesamt etwa ein Kilometer lange Leitung verläuft dann durch die Valkenburger Straße, die Gulpener Straße und die Lemierser Straße.   ",,01.06.2013,Bis Mitte 2013
14,STAWAG,,,,In den Atzenbenden / Am Ravelsberg,,"In den Atzenbenden, Am Ravelsberg",Erneuerung von Kanal- und Versorgungsleitungen. Weitere Infos unter www.stawagbaut.de ,01.03.2013,30.09.2013,März bis September 2013
15,STAWAG,,,,Jülicher Straße,Talbotstraße bis Heinrich-Hollands-Straße,"Talbotstraße, Heinrich-Hollands-Straße","Erweiterung des Fernwärmenetzes. Erster Abschnitt zwischen Berliner Ring und Talbotstraße nahezu abgeschlossen, zweiter Abschnitt beginnt nach Ostern, dann wird die Jülicher Straße zwischen Talbotstraße und Höhe Heinrich-Hollands-Straße stadtauswärts nur einspurig befahrbar sein, der Verkehr wird dort an der Baustelle vorbeigeführt. Diese Regelung wird voraussichtlich bis Ende Mai gelten. Alle Verkehrsteilnehmer werden dringend gebeten, die von der Stadt Aachen angeordnete und entsprechend ausgeschilderte Verkehrsführung zu beachten. Anlieger können im gesamten Bereich bis an die Baustelle heranfahren, die anliegenden Geschäfte und Gastronomiebetriebe sind weiterhin erreichbar. Gesonderte Zufahrten sind ausgeschildert.        ",,31.05.2013,Ende Mai 2013
16,STAWAG,Stadt Aachen,ECE,STRABAG,Kaiserplatz,,Kaiserplatz,"Baufeldräumung, Erschließung der Kaiserplatzgalerie mit Wasser und Strom, Kanalsanierung. Verkehrsbehinderungen durch Sperrung der ""Stiftsumfahrt"" um St. Adalbert, ab Ende April wird die Beeckst raße für ca. 3 Wochen zur Sackgasse. Zufahrt zur Beeckstr. und Martin-Luther-Straße soll während der Baumaßnahme auch über Adalbersteinweg ermöglicht werden, die bisherige Einbahnregelung der Stiftsumfahrt wird dann geändert. Verlegung der Bushaltestellen in der Stiftsumfahrt: Die ASEAG-Busse Richtung Br and halten dann in der Heinrichsallee        ",,31.10.2013,Bis Oktober
17,STAWAG,Stadt Aachen,,,Katschhof / Ritter-Chorus-Straße / Johannes-Paul-II.Str.,,"Katschhof, Ritter-Chorus-Straße, Johannes-Paul-II.Str.","Kanalbauarbeiten in der Ritter-Chorus-Straße und im oberen Teil der Johannes- Paul-II.-Straße zwischen Ritter-Chorus-Str aße und Jakobstraße: Bis Juni 2013, anschließend Wiederherstellung der Fahrbahn und Nebenanlagen bis August 2013. Kanalarbeiten am Klosterplatz und im unteren Bereich der Johannes-Paul-II.- Straße (bis Rennbahn) mittels Stichkanal, der im Stollenbau unterirdisch vorgetrieben wird, bis Juni 2013. Anschließend Straßenbau bis Ende 2013. Da mit archäologischen Funden gerechnet werden muss ist von einer Fertigstellung Anfang 2014 auszugehen. Der Bereich vor dem Centre Charlemagne (Herstellung der Oberfläche) ist weitgehend abgeschlossen, ebenso der Hochbau. Die Eröffnung des Centre Charlemagne ist für den Herbst 2013 vorgesehen.              ",,31.01.2014,Bis Anfang 2014
